order_date,actual,forecast,ci_lower_95,ci_upper_95,abs_error,actual_within_ci
2018-07-01,185508.59,218529.21,141040.54,296017.89,33020.62,True
2018-07-08,155387.68,230744.45,143286.09,318202.81,75356.77,True
2018-07-15,156090.8,236975.97,145161.46,328790.48,80885.17,True
2018-07-22,219433.63,243336.43,147790.51,338882.35,23902.8,True
2018-07-29,239833.13,248010.5,149479.99,346541.01,8177.37,True
2018-08-05,274389.78,253840.2,152128.92,355551.48,20549.58,True
2018-08-12,275772.04,258450.5,153987.14,362913.86,17321.54,True
2018-08-19,244675.59,264180.62,156750.74,371610.5,19505.03,True
